Building_ID,Floor,Zone,Room_ID,Day_Type,Season,Indoor_Temperature_C,Outdoor_Temperature_C,Humidity_Percent,CO2_ppm,Occupancy,HVAC_Status,HVAC_Mode,HVAC_Setpoint_C,Lighting_Level_Percent,Equipment_Load_kW,Solar_Radiation_Wm2,Wind_Speed_mps,Electricity_Price_per_kWh,Renewable_Generation_kWh,Energy_Consumption_kWh,Carbon_Emission_kgCO2,Comfort_Score,Predicted_Energy_kWh,Recommended_HVAC_Setpoint_C,Expected_Energy_Saving_Percent,AI_Action,Hour,Day,Month,Year,DayOfWeek,WeekOfYear,Quarter,IsWeekend
B1,4,Zone-4,Room-109,Weekday,Winter,23.27,16.6,51.0,412,1,ON,Ventilation,24,60,5.44,207.1,2.09,0.1,0.52,37.76,30.96,96.1,37.16,25,12,Increase ventilation,7,3,1,2025,4,1,1,0
B1,5,Zone-2,Room-137,Weekday,Winter,24.64,16.93,54.3,1160,46,ON,Ventilation,24,90,13.0,400.0,2.8,0.1,1.0,77.69,63.71,79.6,79.57,24,8,Dim lighting,8,3,1,2025,4,1,1,0
B1,5,Zone-1,Room-147,Weekday,Winter,24.21,16.42,49.7,1077,41,ON,Ventilation,24,90,12.05,565.7,3.37,0.15,1.41,74.85,61.38,86.3,75.39,24,8,Reduce ventilation,9,3,1,2025,4,1,1,0
B1,5,Zone-1,Room-125,Weekday,Winter,24.89,17.52,49.2,1121,44,ON,Ventilation,24,90,12.7,692.8,3.37,0.15,1.73,77.43,63.49,80.8,78.94,24,8,Reduce ventilation,10,3,1,2025,4,1,1,0
B1,1,Zone-3,Room-145,Weekday,Winter,24.76,18.73,57.2,1317,55,ON,Ventilation,24,90,14.83,772.7,2.46,0.15,1.93,86.09,70.59,71.2,85.94,24,8,Decrease HVAC setpoint,11,3,1,2025,4,1,1,0
B1,3,Zone-5,Room-149,Weekday,Winter,24.87,19.64,66.9,1367,58,ON,Ventilation,24,90,15.58,800.0,0.89,0.15,2.0,89.44,73.34,66.5,87.74,24,8,Maintain settings,12,3,1,2025,4,1,1,0
B1,4,Zone-3,Room-114,Weekday,Winter,24.1,21.07,43.6,890,28,ON,Ventilation,24,90,9.67,772.7,1.05,0.15,1.93,63.28,51.89,94.1,64.19,24,8,Maintain settings,13,3,1,2025,4,1,1,0
B1,2,Zone-7,Room-116,Weekday,Winter,24.72,24.75,60.3,1118,43,ON,Ventilation,24,90,12.42,692.8,2.62,0.15,1.73,80.33,65.87,79.9,81.15,24,8,Shift non-critical loads,14,3,1,2025,4,1,1,0
B1,2,Zone-7,Room-137,Weekday,Winter,25.37,25.25,44.9,1259,53,ON,Cooling,24,90,14.18,565.7,4.44,0.15,1.41,91.38,74.93,71.3,92.5,24,8,Increase HVAC setpoint,15,3,1,2025,4,1,1,0
B1,3,Zone-3,Room-149,Weekday,Winter,24.82,27.38,64.9,1126,43,ON,Cooling,24,90,12.88,400.0,4.12,0.15,1.0,83.37,68.36,78.1,81.61,24,8,Maintain settings,16,3,1,2025,4,1,1,0
B1,2,Zone-8,Room-125,Weekday,Winter,24.0,28.14,49.8,935,31,ON,Cooling,24,90,11.0,207.1,3.97,0.15,0.52,73.38,60.17,93.8,73.15,24,8,Decrease HVAC setpoint,17,3,1,2025,4,1,1,0
B1,1,Zone-2,Room-118,Weekday,Winter,23.0,29.91,45.0,449,2,ON,Cooling,24,60,5.53,0.0,2.12,0.18,0.0,47.34,38.82,94.0,47.37,25,12,Increase ventilation,18,3,1,2025,4,1,1,0
B1,5,Zone-6,Room-112,Weekday,Winter,23.27,29.79,63.4,581,11,ON,Cooling,24,60,6.56,0.0,2.39,0.18,0.0,55.0,45.1,93.7,56.58,24,8,Maintain settings,19,3,1,2025,4,1,1,0
B1,5,Zone-8,Room-109,Weekday,Winter,23.23,30.85,50.7,440,0,ON,Cooling,24,10,4.95,0.0,0.5,0.18,0.0,48.56,39.82,96.0,48.6,25,12,Dim lighting,20,3,1,2025,4,1,1,0
B1,1,Zone-6,Room-136,Weekday,Winter,23.61,29.83,62.0,489,4,ON,Cooling,24,60,5.4,0.0,4.36,0.18,0.0,50.77,41.63,95.7,52.34,25,12,Dim lighting,21,3,1,2025,4,1,1,0
B1,4,Zone-2,Room-149,Weekday,Winter,23.49,31.23,63.5,618,11,ON,Cooling,24,60,6.86,0.0,4.23,0.18,0.0,57.88,47.46,94.8,59.12,24,8,Increase ventilation,22,3,1,2025,4,1,1,0
B1,2,Zone-2,Room-124,Weekday,Winter,23.21,30.06,47.0,469,3,ON,Cooling,24,60,5.15,0.0,4.22,0.1,0.0,50.39,41.32,95.5,50.38,25,12,Increase ventilation,23,3,1,2025,4,1,1,0
B1,4,Zone-2,Room-101,Weekend,Winter,23.29,27.04,56.5,418,0,OFF,Cooling,28,10,4.59,0.0,5.64,0.1,0.0,43.02,35.28,95.2,45.02,25,8,Increase HVAC setpoint,0,4,1,2025,5,1,1,1
B1,5,Zone-3,Room-144,Weekend,Winter,23.91,26.67,62.5,522,7,ON,Cooling,24,60,6.69,0.0,5.21,0.1,0.0,51.73,42.42,97.1,49.95,25,12,Maintain settings,1,4,1,2025,5,1,1,1
B1,5,Zone-2,Room-110,Weekend,Winter,23.99,24.4,59.0,514,7,ON,Ventilation,24,60,6.71,0.0,2.8,0.1,0.0,46.21,37.89,98.2,46.91,25,12,Increase ventilation,2,4,1,2025,5,1,1,1
B1,3,Zone-4,Room-147,Weekend,Winter,23.99,23.04,43.4,451,2,ON,Ventilation,24,60,4.98,0.0,2.45,0.1,0.0,39.04,32.01,98.6,40.64,25,12,Shift non-critical loads,3,4,1,2025,5,1,1,1
B1,2,Zone-2,Room-136,Weekend,Winter,23.88,21.69,48.7,468,4,ON,Ventilation,24,60,5.57,0.0,4.22,0.1,0.0,39.98,32.78,99.1,41.73,25,12,Reduce ventilation,4,4,1,2025,5,1,1,1
B1,3,Zone-7,Room-114,Weekend,Winter,23.84,19.35,44.4,487,3,ON,Ventilation,24,60,5.5,0.0,4.05,0.1,0.0,40.99,33.61,98.1,41.64,25,12,Decrease HVAC setpoint,5,4,1,2025,5,1,1,1
B1,5,Zone-3,Room-106,Weekend,Winter,23.38,18.56,54.5,526,8,ON,Ventilation,24,60,6.06,0.0,1.85,0.1,0.0,43.87,35.97,96.0,45.59,25,12,Shift non-critical loads,6,4,1,2025,5,1,1,1
B1,1,Zone-8,Room-120,Weekend,Winter,24.22,16.4,57.1,555,7,ON,Ventilation,24,60,6.4,207.1,2.6,0.1,0.52,44.77,36.71,97.5,44.6,25,12,Dim lighting,7,4,1,2025,5,1,1,1
B1,4,Zone-5,Room-114,Weekend,Winter,23.82,17.38,59.0,523,6,ON,Ventilation,24,60,5.84,400.0,4.05,0.1,1.0,41.79,34.27,97.3,40.54,25,12,Maintain settings,8,4,1,2025,5,1,1,1
B1,4,Zone-7,Room-121,Weekend,Winter,23.79,16.43,50.7,461,3,ON,Ventilation,24,60,5.84,565.7,4.53,0.15,1.41,39.93,32.74,98.8,41.84,25,12,Dim lighting,9,4,1,2025,5,1,1,1
B1,4,Zone-3,Room-142,Weekend,Winter,23.26,18.34,52.7,416,0,OFF,Ventilation,28,10,4.61,692.8,3.75,0.15,1.73,34.07,27.94,95.8,33.69,25,8,Dim lighting,10,4,1,2025,5,1,1,1
B1,4,Zone-2,Room-121,Weekend,Winter,23.95,19.38,49.9,476,3,ON,Ventilation,24,60,5.62,772.7,1.55,0.15,1.93,38.02,31.18,99.7,39.89,25,12,Decrease HVAC setpoint,11,4,1,2025,5,1,1,1
B1,5,Zone-8,Room-130,Weekend,Winter,23.89,19.37,51.6,481,5,ON,Ventilation,24,60,5.89,800.0,1.92,0.15,2.0,41.58,34.1,99.1,40.77,25,12,Shift non-critical loads,12,4,1,2025,5,1,1,1
B1,4,Zone-7,Room-106,Weekend,Winter,23.47,22.63,61.5,522,6,ON,Ventilation,24,60,6.22,772.7,4.41,0.15,1.93,40.84,33.49,95.1,39.67,25,12,Increase ventilation,13,4,1,2025,5,1,1,1
B1,1,Zone-5,Room-133,Weekend,Winter,23.53,25.03,47.0,528,7,ON,Cooling,24,60,6.58,692.8,3.54,0.15,1.73,47.65,39.07,97.0,46.5,25,12,Shift non-critical loads,14,4,1,2025,5,1,1,1
B1,5,Zone-7,Room-101,Weekend,Winter,24.11,25.0,53.0,437,2,ON,Cooling,24,60,5.54,565.7,2.94,0.15,1.41,41.7,34.19,98.8,39.98,25,12,Decrease HVAC setpoint,15,4,1,2025,5,1,1,1
B1,4,Zone-6,Room-110,Weekend,Winter,23.11,26.6,61.9,450,3,ON,Cooling,24,60,5.26,400.0,0.5,0.15,1.0,43.22,35.44,93.2,43.65,25,12,Reduce ventilation,16,4,1,2025,5,1,1,1
B1,2,Zone-5,Room-102,Weekend,Winter,24.09,27.76,56.8,421,1,ON,Cooling,24,60,5.54,207.1,5.17,0.15,0.52,46.31,37.97,98.2,46.53,25,12,Shift non-critical loads,17,4,1,2025,5,1,1,1
B1,1,Zone-4,Room-125,Weekend,Winter,23.84,30.74,49.4,424,0,ON,Cooling,24,10,5.32,0.0,1.72,0.18,0.0,46.38,38.03,99.1,48.23,25,12,Maintain settings,18,4,1,2025,5,1,1,1
B1,5,Zone-8,Room-120,Weekend,Winter,23.38,30.54,43.6,545,7,ON,Cooling,24,60,6.0,0.0,3.5,0.18,0.0,53.68,44.02,95.6,54.56,25,12,Reduce ventilation,19,4,1,2025,5,1,1,1
B1,2,Zone-1,Room-126,Weekend,Winter,23.42,31.92,55.5,447,2,ON,Cooling,24,60,5.61,0.0,4.65,0.18,0.0,51.3,42.07,96.0,50.8,25,12,Decrease HVAC setpoint,20,4,1,2025,5,1,1,1
B1,5,Zone-1,Room-149,Weekend,Winter,24.17,30.23,66.5,544,7,ON,Cooling,24,60,6.61,0.0,3.52,0.18,0.0,55.98,45.9,95.8,56.69,25,12,Reduce ventilation,21,4,1,2025,5,1,1,1
B1,5,Zone-1,Room-142,Weekend,Winter,23.32,31.21,44.3,428,2,ON,Cooling,24,60,5.27,0.0,2.31,0.18,0.0,49.1,40.26,95.5,49.98,25,12,Increase ventilation,22,4,1,2025,5,1,1,1
B1,5,Zone-2,Room-108,Weekend,Winter,23.04,29.23,66.1,454,3,ON,Cooling,24,60,5.51,0.0,3.02,0.1,0.0,47.24,38.74,92.0,45.84,25,12,Shift non-critical loads,23,4,1,2025,5,1,1,1
B1,2,Zone-7,Room-125,Weekend,Winter,23.82,28.58,54.7,480,3,ON,Cooling,24,60,6.01,0.0,1.96,0.1,0.0,50.02,41.02,98.2,51.27,25,12,Maintain settings,0,5,1,2025,6,1,1,1
B1,1,Zone-5,Room-103,Weekend,Winter,23.73,25.06,46.8,481,5,ON,Cooling,24,60,6.05,0.0,4.91,0.1,0.0,45.45,37.27,98.0,44.67,25,12,Shift non-critical loads,1,5,1,2025,6,1,1,1
B1,4,Zone-6,Room-120,Weekend,Winter,23.46,25.11,59.4,440,2,ON,Cooling,24,60,4.92,0.0,1.97,0.1,0.0,43.44,35.62,95.4,45.24,25,12,Increase ventilation,2,5,1,2025,6,1,1,1
B1,4,Zone-1,Room-150,Weekend,Winter,24.12,21.26,49.1,475,5,ON,Ventilation,24,60,6.39,0.0,2.9,0.1,0.0,43.16,35.39,99.2,42.78,25,12,Maintain settings,3,5,1,2025,6,1,1,1
B1,1,Zone-6,Room-106,Weekend,Winter,23.72,19.93,55.6,479,3,ON,Ventilation,24,60,5.19,0.0,3.5,0.1,0.0,37.98,31.14,97.5,39.18,25,12,Reduce ventilation,4,5,1,2025,6,1,1,1
B1,5,Zone-6,Room-106,Weekend,Winter,23.01,20.15,49.7,495,4,ON,Ventilation,24,60,5.27,0.0,4.72,0.1,0.0,39.64,32.5,95.0,38.17,25,12,Increase HVAC setpoint,5,5,1,2025,6,1,1,1
B1,4,Zone-6,Room-117,Weekend,Winter,23.68,18.77,61.9,410,0,OFF,Ventilation,28,10,5.07,0.0,3.69,0.1,0.0,37.06,30.39,96.0,35.59,25,8,Increase HVAC setpoint,6,5,1,2025,6,1,1,1
B1,3,Zone-3,Room-126,Weekend,Winter,24.03,16.47,57.6,546,8,ON,Ventilation,24,60,6.66,207.1,3.19,0.1,0.52,45.02,36.92,98.3,44.25,25,12,Decrease HVAC setpoint,7,5,1,2025,6,1,1,1
B1,3,Zone-7,Room-126,Weekend,Winter,23.21,16.6,55.0,436,2,ON,Ventilation,24,60,5.74,400.0,2.63,0.1,1.0,38.95,31.94,95.1,40.76,25,12,Increase HVAC setpoint,8,5,1,2025,6,1,1,1
B1,5,Zone-6,Room-101,Weekend,Winter,24.24,17.23,60.5,542,9,ON,Ventilation,24,60,6.34,565.7,3.24,0.15,1.41,42.98,35.24,96.7,44.65,25,12,Maintain settings,9,5,1,2025,6,1,1,1
B1,5,Zone-6,Room-147,Weekend,Winter,23.35,16.75,58.0,500,6,ON,Ventilation,24,60,5.61,692.8,3.31,0.15,1.73,41.96,34.41,95.2,41.0,25,12,Decrease HVAC setpoint,10,5,1,2025,6,1,1,1
B1,4,Zone-3,Room-109,Weekend,Winter,23.96,18.87,54.5,498,5,ON,Ventilation,24,60,6.37,772.7,2.02,0.15,1.93,41.84,34.31,98.9,41.75,25,12,Increase HVAC setpoint,11,5,1,2025,6,1,1,1
B1,5,Zone-4,Room-129,Weekend,Winter,23.32,21.36,53.7,445,2,ON,Ventilation,24,60,4.97,800.0,2.57,0.15,2.0,36.92,30.27,95.8,38.31,25,12,Shift non-critical loads,12,5,1,2025,6,1,1,1
B1,5,Zone-3,Room-102,Weekend,Winter,23.26,23.2,59.5,508,6,ON,Ventilation,24,60,5.74,772.7,1.66,0.15,1.93,41.97,34.42,94.4,42.51,25,12,Increase HVAC setpoint,13,5,1,2025,6,1,1,1
B1,5,Zone-3,Room-113,Weekend,Winter,24.17,23.83,59.9,539,9,ON,Ventilation,24,60,6.25,692.8,4.7,0.15,1.73,45.84,37.59,97.2,47.01,25,12,Shift non-critical loads,14,5,1,2025,6,1,1,1
